ORDER_ID,CUSTOMER_ID,PRODUCT_ID,ORDER_DATE,QUANTITY
O0001,C016,P016,7/26/2026,4
O0002,C013,P004,1/25/2026,4
O0003,C023,P014,4/16/2026,4
O0004,C047,P002,6/22/2026,1
O0005,C004,P013,7/6/2026,3
O0006,C007,P008,2/19/2026,2
O0007,C035,P015,2/5/2026,4
O0008,C012,P009,4/29/2026,2
O0009,C005,P015,7/26/2026,5
O0010,C007,P002,6/16/2026,5
O0011,C001,P003,8/26/2026,2
O0012,C011,P014,5/5/2026,4
O0013,C014,P013,8/20/2026,1
O0014,C011,P013,1/1/2026,4
O0015,C017,P015,3/15/2026,4
O0016,C045,P018,6/19/2026,4
O0017,C010,P007,3/17/2026,2
O0018,C004,P019,7/8/2026,5
O0019,C004,P011,1/15/2026,1
O0020,C038,P016,5/9/2026,5
O0021,C011,P002,9/3/2026,5
O0022,C006,P006,1/18/2026,5
O0023,C005,P008,4/14/2026,1
O0024,C037,P008,5/29/2026,5
O0025,C003,P020,1/21/2026,4
O0026,C043,P019,5/25/2026,5
O0027,C021,P009,2/22/2026,3
O0028,C016,P009,4/12/2026,2
O0029,C043,P010,4/28/2026,3
O0030,C049,P003,1/3/2026,4
O0031,C040,P019,1/26/2026,1
O0032,C035,P007,5/10/2026,3
O0033,C009,P012,8/14/2026,1
O0034,C016,P012,3/14/2026,2
O0035,C029,P018,6/30/2026,3
O0036,C040,P017,1/3/2026,5
O0037,C020,P004,8/29/2026,2
O0038,C017,P004,8/16/2026,1
O0039,C048,P018,2/9/2026,3
O0040,C019,P020,2/23/2026,3
O0041,C014,P009,5/10/2026,4
O0042,C017,P002,1/24/2026,4
O0043,C018,P002,1/1/2026,3
O0044,C050,P005,6/13/2026,3
O0045,C011,P015,5/22/2026,4
O0046,C036,P001,1/29/2026,1
O0047,C045,P005,5/20/2026,1
O0048,C024,P019,5/22/2026,2
O0049,C028,P005,1/11/2026,3
O0050,C024,P002,8/19/2026,3
O0051,C014,P008,6/20/2026,1
O0052,C023,P018,8/15/2026,4
O0053,C040,P005,8/25/2026,2
O0054,C011,P006,8/14/2026,4
O0055,C002,P006,7/8/2026,3
O0056,C027,P008,3/10/2026,2
O0057,C045,P004,4/8/2026,1
O0058,C031,P008,2/21/2026,4
O0059,C023,P010,7/30/2026,2
O0060,C015,P001,6/18/2026,2
O0061,C026,P011,3/13/2026,1
O0062,C050,P009,3/31/2026,5
O0063,C026,P018,3/26/2026,1
O0064,C008,P009,2/15/2026,5
O0065,C017,P002,1/28/2026,5
O0066,C028,P012,7/6/2026,3
O0067,C028,P020,5/11/2026,1
O0068,C025,P019,2/18/2026,3
O0069,C003,P014,1/1/2026,5
O0070,C035,P007,4/4/2026,4
O0071,C005,P011,6/9/2026,3
O0072,C043,P004,7/4/2026,3
O0073,C033,P010,6/20/2026,4
O0074,C021,P013,6/28/2026,3
O0075,C036,P005,2/19/2026,4
O0076,C043,P013,6/23/2026,2
